what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267463707603
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463709080
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463710133
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1267463710140
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463711410
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463714998
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267463715020
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267463715793
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463720660
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1267463901428
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267463903960
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267463907658
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463930493
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463933078
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463933185
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267463933195
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267463933648
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.PropertySheet",1267463950053
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463951180
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267463957358
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267463958845
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267463970505
opened,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267463971840
activated,editor,org.eclipse.gmf.ecore.editor,2.1.0.v20090529-1925,"org.eclipse.gmf.ecore.part.EcoreDiagramEditorID",1267463971983
activated,editor,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.presentation.EcoreEditorID",1267463991913
